name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id
Frank R. Strayer,1938,1,Blondie,movie,Directing,Director,34170
Richard Flournoy,1938,1,Blondie,movie,Writing,Screenplay,34171
Robert Liebmann,1921,2,Der Mann ohne Namen,movie,Writing,Screenplay,2902
Frederik Fuglsang,1921,2,Der Mann ohne Namen,movie,Camera,Director of Photography,29032
Georg Jacoby,1921,2,Der Mann ohne Namen,movie,Writing,Screenplay,48035
Georg Jacoby,1921,2,Der Mann ohne Namen,movie,Directing,Director,48035
François Truffaut,1962,3,L'amour à vingt ans,movie,Directing,Director,1650
François Truffaut,1962,3,L'amour à vingt ans,movie,Writing,Writer,1650
Gérard Brach,1962,3,L'amour à vingt ans,movie,Directing,Assistant Director,2356
Andrzej Wajda,1962,3,L'amour à vingt ans,movie,Directing,Director,2801
Georges Delerue,1962,3,L'amour à vingt ans,movie,Sound,Music,3535
Pierre Roustang,1962,3,L'amour à vingt ans,movie,Production,Producer,3539
Raoul Coutard,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,3540
Suzanne Schiffman,1962,3,L'amour à vingt ans,movie,Directing,Script Supervisor,3583
Barbara Pec-Ślesicka,1962,3,L'amour à vingt ans,movie,Production,Production Manager,7103
Claudine Bouché,1962,3,L'amour à vingt ans,movie,Editing,Editor,18223
Marcel Ophüls,1962,3,L'amour à vingt ans,movie,Directing,Director,19789
Marcel Ophüls,1962,3,L'amour à vingt ans,movie,Writing,Writer,19789
Charles L. Bitsch,1962,3,L'amour à vingt ans,movie,Camera,Assistant Camera,25059
Guy Villette,1962,3,L'amour à vingt ans,movie,Sound,Sound Engineer,26357
Mario Montuori,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,31854
Andrzej Żuławski,1962,3,L'amour à vingt ans,movie,Directing,Second Unit Director,32082
Toru Takemitsu,1962,3,L'amour à vingt ans,movie,Sound,Music,51808
Jerzy Lipman,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,26962
Jerzy Matuszkiewicz,1962,3,L'amour à vingt ans,movie,Sound,Music,80171
Shintarō Ishihara,1962,3,L'amour à vingt ans,movie,Directing,Director,139091
Shintarō Ishihara,1962,3,L'amour à vingt ans,movie,Writing,Writer,139091
Renzo Rossellini,1962,3,L'amour à vingt ans,movie,Directing,Director,543794
Renzo Rossellini,1962,3,L'amour à vingt ans,movie,Writing,Writer,543794
Jerzy Stefan Stawiński,1962,3,L'amour à vingt ans,movie,Writing,Writer,1003232
Philippe Dussart,1962,3,L'amour à vingt ans,movie,Production,Production Manager,1052402
Wolf Wirth,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,1064404
Halina Nawrocka,1962,3,L'amour à vingt ans,movie,Editing,Editor,1545070
Shigeo Murata,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,2005902
Yvon Samuel,1962,3,L'amour à vingt ans,movie,Writing,Writer,2507348
Derek Westerlund,2008,4,New World Disorder 9: Never Enough,movie,Directing,Director,112786
Aki Kaurismäki,1988,6,Ariel,movie,Directing,Director,16767
Aki Kaurismäki,1988,6,Ariel,movie,Production,Producer,16767
Aki Kaurismäki,1988,6,Ariel,movie,Writing,Writer,16767
Timo Salminen,1988,6,Ariel,movie,Camera,Director of Photography,16769
Raija Talvio,1988,6,Ariel,movie,Editing,Editor,54766
Risto Karhula,1988,6,Ariel,movie,Art,Production Design,53836
Tuula Hilkamo,1988,6,Ariel,movie,Costume & Make-Up,Costume Design,54771
Jaakko Talaskivi,1988,6,Ariel,movie,Production,Production Manager,4831
Jouko Lumme,1988,6,Ariel,movie,Sound,Sound,16772
Veikko Aaltonen,1988,6,Ariel,movie,Sound,Sound Assistant,109893
Juuso Hirvikangas,1988,6,Ariel,movie,Lighting,Gaffer,110756
Rauli Somerjoki,1988,6,Ariel,movie,Sound,Music,110793
Pauli Pentti,1988,6,Ariel,movie,Directing,Assistant Director,1034489
Heikki Ukkonen,1988,6,Ariel,movie,Production,Location Manager,1084612
Marja-Leena Hukkanen,1988,6,Ariel,movie,Camera,Still Photographer,1303969
Marja-Leena Hukkanen,1988,6,Ariel,movie,Directing,Script Supervisor,1303969
Mikko Mattila,1988,6,Ariel,movie,Lighting,Gaffer,1381112
Olli Varja,1988,6,Ariel,movie,Lighting,Gaffer,1381113
Olavi Virta,1988,6,Ariel,movie,Sound,Music,1403857
Sirkka Rautiainen,1988,6,Ariel,movie,Costume & Make-Up,Costume Assistant,1416993
Heikki Ortamo,1988,6,Ariel,movie,Camera,Assistant Camera,1540906
Seppo Saarinen,1988,6,Ariel,movie,Crew,Carpenter,1666626
Outi Hyytinen,1988,6,Ariel,movie,Editing,Assistant Editor,1674075
Kjell Westman,1988,6,Ariel,movie,Sound,Sound Re-Recording Mixer,1683985
Timo Markko,1988,6,Ariel,movie,Camera,Assistant Camera,1750241
Erkki Astala,1988,6,Ariel,movie,Production,Publicist,1760644
Leena Palmu,1988,6,Ariel,movie,Editing,Negative Cutter,1761904
Erkki Lume,1988,6,Ariel,movie,Production,Location Manager,1940249
Timo Nousiainen,1988,6,Ariel,movie,Editing,Colorist,2159272
Haije Alanoja,1988,6,Ariel,movie,Production,Production Secretary,2159274
Simo Sulva,1988,6,Ariel,movie,Art,Property Master,2505429
Taisto Tammi,1988,6,Ariel,movie,Sound,Music,2509155
Heikki Anttila,1988,6,Ariel,movie,Crew,Carpenter,3416563
Jukka Anttonen,1988,6,Ariel,movie,Crew,Carpenter,3478267
Pirjo Laivuori,1988,6,Ariel,movie,Editing,Colorist,3480787
Aki Kaurismäki,1986,7,Varjoja paratiisissa,movie,Directing,Director,16767
Aki Kaurismäki,1986,7,Varjoja paratiisissa,movie,Writing,Writer,16767
Timo Salminen,1986,7,Varjoja paratiisissa,movie,Camera,Director of Photography,16769
Raija Talvio,1986,7,Varjoja paratiisissa,movie,Editing,Editor,54766
Tuula Hilkamo,1986,7,Varjoja paratiisissa,movie,Costume & Make-Up,Costume Design,54771
