name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Penny Singleton,Blondie,1938,1,Blondie,movie,Acting,0,34178
Arthur Lake,Dagwood,1938,1,Blondie,movie,Acting,1,34179
Larry Simms,Baby Dumpling,1938,1,Blondie,movie,Acting,2,30223
Daisy,Daisy,1938,1,Blondie,movie,Acting,3,34214
Ann Doran,Elsie Hazlip,1938,1,Blondie,movie,Acting,4,2772
Dorothy Moore,Dorothy,1938,1,Blondie,movie,Acting,5,34183
Gene Lockhart,C.P. Hazlip,1938,1,Blondie,movie,Acting,6,30234
Jonathan Hale,Mr. Dithers,1938,1,Blondie,movie,Acting,7,12502
Gordon Oliver,Chester Franey,1938,1,Blondie,movie,Acting,8,34180
Danny Mummert,Alvin,1938,1,Blondie,movie,Acting,9,34181
Kathleen Lockhart,Mrs. Miller,1938,1,Blondie,movie,Acting,10,34182
Willie Best,Porter,1938,1,Blondie,movie,Acting,11,34185
Ian Wolfe,Judge,1938,1,Blondie,movie,Acting,12,2782
Eugene Anderson Jr,Newsboy (uncredited),1938,1,Blondie,movie,Acting,13,1292673
Stanley Andrews,Mr. Hicks (uncredited),1938,1,Blondie,movie,Acting,14,34505
Hooper Atchley,Man on Bus (uncredited),1938,1,Blondie,movie,Acting,15,121097
Stanley Brown,S.W. Carey Salesman (uncredited),1938,1,Blondie,movie,Acting,16,34241
Mary Jane Carey,Mary (uncredited),1938,1,Blondie,movie,Acting,17,1173491
Dick Curtis,Daily Gazette Reporter (uncredited),1938,1,Blondie,movie,Acting,18,153638
Edgar Dearing,Policeman at Hotel (uncredited),1938,1,Blondie,movie,Acting,19,1240252
Richard Fiske,Nelson (uncredited),1938,1,Blondie,movie,Acting,20,34243
James Flavin,Policeman in Accident Car (uncredited),1938,1,Blondie,movie,Acting,21,3262
Fay Helm,Mrs. Fuddle (uncredited),1938,1,Blondie,movie,Acting,22,34184
George Humbert,Pie Salesman (uncredited),1938,1,Blondie,movie,Acting,23,106091
Bud Jamison,Repossessor (uncredited),1938,1,Blondie,movie,Acting,24,89615
Charles Lane,Furniture Salesman (uncredited),1938,1,Blondie,movie,Acting,25,29579
Harold Minjir,Mr. Phillips (uncredited),1938,1,Blondie,movie,Acting,26,1005423
David Newell,First Draftsman (uncredited),1938,1,Blondie,movie,Acting,27,942165
Emory Parnell,Police Desk Sergeant (uncredited),1938,1,Blondie,movie,Acting,28,124875
John Rand,Gardener (uncredited),1938,1,Blondie,movie,Acting,29,21310
Bruce Sidney,Detective at Hotel (uncredited),1938,1,Blondie,movie,Acting,30,1420879
Walter Soderling,Mr. Morgan (uncredited),1938,1,Blondie,movie,Acting,31,34270
Larry Steers,Assistant Hotel Clerk (uncredited),1938,1,Blondie,movie,Acting,32,135827
Josephine Whittell,Woman Seeing Optometrist (uncredited),1938,1,Blondie,movie,Acting,33,99376
Irving Bacon,Mr. Beazley (uncredited),1938,1,Blondie,movie,Acting,34,30530
Harry Liedtke,Peter Voss,1921,2,Der Mann ohne Namen,movie,Acting,0,48038
Georg Alexander,Bobby Dodd,1921,2,Der Mann ohne Namen,movie,Acting,1,28126
Mady Christians,Gert Nissen,1921,2,Der Mann ohne Namen,movie,Acting,2,14357
Jakob Tiedtke,Frederik Nissen,1921,2,Der Mann ohne Namen,movie,Acting,3,14131
Jean-Pierre Léaud,"Antoine Doinel (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,0,1653
Marie-France Pisier,"Colette (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,1,3536
Patrick Auffay,"René (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,2,1659
Rosy Varte,"La mère de Colette (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,3,3537
François Darbon,"Le beau-père de Colette (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,4,3518
Jean-François Adam,"Albert Tazzi (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,5,3538
Pierre Schaeffer,"Himself (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Sound,6,1003228
Cristina Gaïoni,Christina,1962,3,L'amour à vingt ans,movie,Acting,7,237623
Geronimo Meynier,Leonardo,1962,3,L'amour à vingt ans,movie,Acting,8,1003229
Eleonora Rossi Drago,Valentina,1962,3,L'amour à vingt ans,movie,Acting,9,25789
Nami Tamura,Fukimo,1962,3,L'amour à vingt ans,movie,Acting,10,1003230
Koji Furuhata,Hiroshi,1962,3,L'amour à vingt ans,movie,Acting,11,30906
Barbara Frey,Ursula,1962,3,L'amour à vingt ans,movie,Acting,12,37781
Christian Doermer,Tonio,1962,3,L'amour à vingt ans,movie,Acting,13,32934
Vera Tschechowa,,1962,3,L'amour à vingt ans,movie,Acting,14,51406
Werner Finck,,1962,3,L'amour à vingt ans,movie,Acting,15,39044
Barbara Lass,"Basia (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,16,10623
Zbigniew Cybulski,"Zbyszek (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,17,40914
Władysław Kowalski,"Wladek (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,18,17889
Damian Damięcki,"(segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,19,146878
Jan Englert,"Kelega Basi (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,20,107633
Marian Opania,"Misiek (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,21,2825
Barbara Sołtysik,"Kolezanka Basi (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,22,1191254
Jolanta Wołłejko,"Kolezanka Basi (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,23,1157939
Catherine-Isabelle Duport,Young Girl at Concert (uncredited),1962,3,L'amour à vingt ans,movie,Acting,24,39068
Darren Berrecloth,Darren Berrecloth,2008,4,New World Disorder 9: Never Enough,movie,Acting,0,84130
Cameron McCaul,Cameron McCaul,2008,4,New World Disorder 9: Never Enough,movie,Acting,1,84143
Paul Basagoitia,Paul Basagoitia,2008,4,New World Disorder 9: Never Enough,movie,Acting,2,112801
Brandon Semenuk,Brandon Semenuk,2008,4,New World Disorder 9: Never Enough,movie,Acting,3,112818
Alex Pro,Alex Pro,2008,4,New World Disorder 9: Never Enough,movie,Acting,4,115965
Andreu Lacondeguy,Andreu Lacondeguy,2008,4,New World Disorder 9: Never Enough,movie,Acting,5,112793
Wayne Goss,Wayne Goss,2008,4,New World Disorder 9: Never Enough,movie,Acting,6,112794
Ben Boyko,Ben Boyko,2008,4,New World Disorder 9: Never Enough,movie,Acting,7,112798
Turo Pajala,Taisto Kasurinen,1988,6,Ariel,movie,Acting,0,54768
Susanna Haavisto,Irmeli Pihlaja,1988,6,Ariel,movie,Acting,1,54769
