name,media_type,movie_tv_id
blondie,movie,1
sports,movie,4
mountain biking,movie,4
underdog,movie,6
prison,movie,6
factory worker,movie,6
prisoner,movie,6
"helsinki, finland",movie,6
falling in love,movie,6
salesclerk,movie,7
"helsinki, finland",movie,7
garbage,movie,7
hotel,movie,8
new year's eve,movie,8
witch,movie,8
bet,movie,8
hotel room,movie,8
sperm,movie,8
anthology,movie,8
"los angeles, california",movie,8
hoodlum,movie,8
multiple storylines,movie,8
woman director,movie,8
"chicago, illinois",movie,9
drug dealer,movie,9
escape,movie,9
one night,movie,9
boxing,movie,9
megacities,movie,10
sailboat,movie,11
dying and death,movie,11
android,movie,12
galaxy,movie,12
hermit,movie,12
smuggling (contraband),movie,12
space,movie,12
rescue mission,movie,12
empire,movie,12
rebellion,movie,12
planet,movie,12
desert,movie,12
space opera,movie,12
galactic war,movie,12
totalitarianism,movie,12
speculative fiction,movie,12
parent child relationship,movie,13
"sydney, australia",movie,13
harbor,movie,13
anthropomorphism,movie,13
underwater,movie,13
shark,movie,13
pelican,movie,13
fish tank,movie,13
great barrier reef,movie,13
sea turtle,movie,13
missing child,movie,13
aftercreditsstinger,movie,13
duringcreditsstinger,movie,13
short term memory loss,movie,13
clownfish,movie,13
father son reunion,movie,13
protective father,movie,13
