ref_id,adult_movie,main_img,bg_img,overview,title,budget,revenue,duration,release_date
3924,,https://image.tmdb.org/t/p/original//o6UMTE2LzQdlKVxRnFECPmtQjsJ.jpg,https://image.tmdb.org/t/p/original//dvQj1GBZAZirz1skEEZyWH2ZqQP.jpg,Blondie and Dagwood are about to celebrate their fifth wedding anniversary but this happy occasion is marred when the bumbling Dagwood gets himself involved in a scheme that is promising financial ruin for the Bumstead family.,Blondie,0,0,70,1938-11-30
6124,,https://image.tmdb.org/t/p/original//6xUbUCvndklbGVYiljHr34NTxSl.jpg,https://image.tmdb.org/t/p/original/null,,Der Mann ohne Namen,0,0,420,1921-01-01
8773,,https://image.tmdb.org/t/p/original//aup2QCYCsyEeQfpboXy0f4uj8aE.jpg,https://image.tmdb.org/t/p/original//uJlc4aNPF3Y8yAqahJTKBwgwPVW.jpg,Love at Twenty unites five directors from five different countries to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson.,L'amour à vingt ans,0,0,110,1962-06-22
25449,,https://image.tmdb.org/t/p/original//okQY6jVmRU19CUbYPUZC77K3XBE.jpg,https://image.tmdb.org/t/p/original/null,"Gee Atherton ripping the Worlds course the day after winning the race, Robbie Bourdon stomping a 70 ft. flat spin and Fabien Barel dropping an insane, near vertical line in Morocco, that's right New World Disorder is back with it's 9th installment, ""Never Enough."" Filmed exclusively in Super 16mm and High Definition, the world premiere will screen September 24th, during the annual Interbike trade show in Las Vegas.",New World Disorder 9: Never Enough,0,0,69,2008-12-08
31975,,https://image.tmdb.org/t/p/original//qKWcCmvGr4g0dgXvhqAc4BAMCtk.jpg,https://image.tmdb.org/t/p/original/null,"Elmo is making a very, very super special surprise card for someone Elmo really loves but a gust of wind blows it away! Rosita joins Elmo to chase after the card but they can't reach it. Can Super Grover use his heroic skills to save the day? Will Elmo be able to give his surprise card to someone very special? Join Elmo, Rosita and Grover as they learn about love, emotions and friendship in this love-ly tale featuring the new song ""Elmo Loves You"" and a special music video about signing ""I Love You"".",Sesame Street: Elmo Loves You!,0,0,46,2010-01-05
2,,https://image.tmdb.org/t/p/original//ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,https://image.tmdb.org/t/p/original//hQ4pYsIbP22TMXOUdSfC2mjWrO0.jpg,"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",Ariel,0,0,73,1988-10-21
3,,https://image.tmdb.org/t/p/original//nj01hspawPof0mJmlgfjuLyJuRN.jpg,https://image.tmdb.org/t/p/original//l94l89eMmFKh7na2a1u5q67VgNx.jpg,"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.",Varjoja paratiisissa,0,0,74,1986-10-17
5,,https://image.tmdb.org/t/p/original//75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,https://image.tmdb.org/t/p/original//c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Four Rooms,4000000,4257354,98,1995-12-09
6,,https://image.tmdb.org/t/p/original//rYFAvSPlQUCebayLcxyK79yvtvV.jpg,https://image.tmdb.org/t/p/original//5aXp2s4l6g5PcMMesIj63mx8hmJ.jpg,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama.",Judgment Night,21000000,12136938,109,1993-10-15
8,,https://image.tmdb.org/t/p/original//x7Sz339F2oC8mBf0DHCQpKizXaL.jpg,https://image.tmdb.org/t/p/original/null,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",Life in Loops (A Megacities RMX),42000,0,80,2006-01-01
