movieId,name,identifier,display_name,overview,title
1,English,en,English,Blondie and Dagwood are about to celebrate their fifth wedding anniversary but this happy occasion is marred when the bumbling Dagwood gets himself involved in a scheme that is promising financial ruin for the Bumstead family.,
2,Deutsch,de,German,,
2,English,en,English,,"Peter Voss, Thief of Millions"
3,Český,cs,Czech,Povídkový film pěti režisérů a jejich pohled na lásku dvacetiletých.,Láska ve dvaceti letech
3,Dansk,da,Danish,"De unge elskende, forener 5 forskellige instruktører rundt om i verden og præsenterer hver især hvad kærlighed er, når man er 20 år.",De unge elskende
3,Deutsch,de,German,,Liebe mit zwanzig
3,English,en,English,Love at Twenty unites five directors from five different countries to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson.,Love at Twenty
3,Español,es,Spanish,"Cinco episodios sobre el amor, dirigidos por conocidos directores. François Truffaut, en ""Antoine et Colette"", trata de un inocente amor entre un joven y una mujer madura. Renzo Rossellini sigue las andanzas de dos mujeres que comparten un amante. Shintaro Ishihara ofrece un violento retrato de un joven perturbado que se convierte en asesino de mujeres. El episodio de Marcel Ophüls (hijo del gran Max Ophüls) se centra en un periodista que, tras un breve encuentro, deja a una mujer embarazada y tendrá que afrontar su responsabilidade como padre. El episodio dirigido por el polaco Andrzej Wajda habla de un joven soldado cuyas hazañas provocan la admiración de una mujer.",El amor a los veinte años
3,Français,fr,French,Cinq sketches sur les amours de jeunes gens de cinq pays différents.,
3,Italiano,it,Italian,"Cinque città, Roma, Parigi, Monaco di Baviera, Varsavia, Tokio, per cinque episodi diretti da cinque registi per sviscerare l'amore dei ventenni vissuto da una parte e dell'altra del mondo.",L'amore a vent'anni
3,Português,pt,Portuguese,Diretores ao redor do mundo apresentam diferentes perspectivas sobre o que é o amor aos 20 anos.,O Amor aos 20 Anos
3,Português,pt,Portuguese,"O amor aos 20 anos, segundo fragmentos de filmes dirigidos por 5 diretores de diversos países: François Truffaut, Shintarô Ishihara, Marcel Ophüls, Renzo Rossellini e Andrzej Wajda.",O amor aos vinte anos
3,Pусский,ru,Russian,"Антуан взрослеет, и уже не тот бунтарь, каким он был раньше. Его любви к Колетт посвящается это психологическое исследование юности.",Любовь в двадцать лет
3,svenska,sv,Swedish,En episodfilm där fem regissörer från fem olika länder skildrar ung kärlek.,Kärlek vid 20 år
3,普通话,zh,Mandarin,　　五位著名导演，各自执导了一段关于二十岁恋情的短片。 　　一、特吕弗《安托万与柯莱特》：《四百下》男主角安托万人生故事的延续，安托万暗恋上比自己年纪稍大的柯莱特，柯莱特却只把他当作弟弟般地看待，安托万的早恋就此无疾而终。 　　二、瓦伊达《华沙》：少女爱上了在动物园里见义勇为的男子，而力邀他参与家里的青年朋友聚会。不经意间，一些场景细节勾起了男子战时的记忆伤痕…… 　　三、罗西里尼（无标题）：可怜的下层女孩不甘心充当第三者，却被成熟老练的贵妇寥寥数语击溃了心理防线…… 　　四、石原慎太郎（无标题）：年轻的工人暗恋上气质非凡的女子，尽管每天都会在路上碰面，他却不敢有所表达而沉耽于幻想，被压抑的强烈欲望最终引发为悲剧。 　　五、马克斯•奥菲尔斯（无标题）：借助于往昔青春岁月的甜蜜回忆，一对夫妇逐步修复彼此之间的关系裂痕。,二十岁之恋
4,Deutsch,de,German,,
4,English,en,English,"Gee Atherton ripping the Worlds course the day after winning the race, Robbie Bourdon stomping a 70 ft. flat spin and Fabien Barel dropping an insane, near vertical line in Morocco, that's right New World Disorder is back with it's 9th installment, ""Never Enough."" Filmed exclusively in Super 16mm and High Definition, the world premiere will screen September 24th, during the annual Interbike trade show in Las Vegas.",
