name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Frank R. Strayer,1938,1,Blondie,movie,Directing,Director,34170,2022-09-03 17:01:12,2022-09-03 17:01:12
Richard Flournoy,1938,1,Blondie,movie,Writing,Screenplay,34171,2022-09-03 17:01:12,2022-09-03 17:01:12
Robert Liebmann,1921,2,Der Mann ohne Namen,movie,Writing,Screenplay,2902,2022-09-03 17:01:12,2022-09-03 17:01:12
Frederik Fuglsang,1921,2,Der Mann ohne Namen,movie,Camera,Director of Photography,29032,2022-09-03 17:01:12,2022-09-03 17:01:12
Georg Jacoby,1921,2,Der Mann ohne Namen,movie,Writing,Screenplay,48035,2022-09-03 17:01:12,2022-09-03 17:01:12
Georg Jacoby,1921,2,Der Mann ohne Namen,movie,Directing,Director,48035,2022-09-03 17:01:12,2022-09-03 17:01:12
François Truffaut,1962,3,L'amour à vingt ans,movie,Directing,Director,1650,2022-09-03 17:01:12,2022-09-03 17:01:12
François Truffaut,1962,3,L'amour à vingt ans,movie,Writing,Writer,1650,2022-09-03 17:01:12,2022-09-03 17:01:12
Gérard Brach,1962,3,L'amour à vingt ans,movie,Directing,Assistant Director,2356,2022-09-03 17:01:12,2022-09-03 17:01:12
Andrzej Wajda,1962,3,L'amour à vingt ans,movie,Directing,Director,2801,2022-09-03 17:01:12,2022-09-03 17:01:12
Georges Delerue,1962,3,L'amour à vingt ans,movie,Sound,Music,3535,2022-09-03 17:01:12,2022-09-03 17:01:12
Pierre Roustang,1962,3,L'amour à vingt ans,movie,Production,Producer,3539,2022-09-03 17:01:12,2022-09-03 17:01:12
Raoul Coutard,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,3540,2022-09-03 17:01:12,2022-09-03 17:01:12
Suzanne Schiffman,1962,3,L'amour à vingt ans,movie,Directing,Script Supervisor,3583,2022-09-03 17:01:12,2022-09-03 17:01:12
Barbara Pec-Ślesicka,1962,3,L'amour à vingt ans,movie,Production,Production Manager,7103,2022-09-03 17:01:12,2022-09-03 17:01:12
Claudine Bouché,1962,3,L'amour à vingt ans,movie,Editing,Editor,18223,2022-09-03 17:01:12,2022-09-03 17:01:12
Marcel Ophüls,1962,3,L'amour à vingt ans,movie,Directing,Director,19789,2022-09-03 17:01:12,2022-09-03 17:01:12
Marcel Ophüls,1962,3,L'amour à vingt ans,movie,Writing,Writer,19789,2022-09-03 17:01:12,2022-09-03 17:01:12
Charles L. Bitsch,1962,3,L'amour à vingt ans,movie,Camera,Assistant Camera,25059,2022-09-03 17:01:12,2022-09-03 17:01:12
Guy Villette,1962,3,L'amour à vingt ans,movie,Sound,Sound Engineer,26357,2022-09-03 17:01:12,2022-09-03 17:01:12
Mario Montuori,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,31854,2022-09-03 17:01:12,2022-09-03 17:01:12
Andrzej Żuławski,1962,3,L'amour à vingt ans,movie,Directing,Second Unit Director,32082,2022-09-03 17:01:12,2022-09-03 17:01:12
Toru Takemitsu,1962,3,L'amour à vingt ans,movie,Sound,Music,51808,2022-09-03 17:01:12,2022-09-03 17:01:12
Jerzy Lipman,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,26962,2022-09-03 17:01:12,2022-09-03 17:01:12
Jerzy Matuszkiewicz,1962,3,L'amour à vingt ans,movie,Sound,Music,80171,2022-09-03 17:01:12,2022-09-03 17:01:12
Shintarō Ishihara,1962,3,L'amour à vingt ans,movie,Directing,Director,139091,2022-09-03 17:01:12,2022-09-03 17:01:12
Shintarō Ishihara,1962,3,L'amour à vingt ans,movie,Writing,Writer,139091,2022-09-03 17:01:12,2022-09-03 17:01:12
Renzo Rossellini,1962,3,L'amour à vingt ans,movie,Directing,Director,543794,2022-09-03 17:01:12,2022-09-03 17:01:12
