name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id,created_at,updated_at
Penny Singleton,Blondie,1938,1,Blondie,movie,Acting,0,34178,2022-09-03 17:01:12,2022-09-03 17:01:12
Arthur Lake,Dagwood,1938,1,Blondie,movie,Acting,1,34179,2022-09-03 17:01:12,2022-09-03 17:01:12
Larry Simms,Baby Dumpling,1938,1,Blondie,movie,Acting,2,30223,2022-09-03 17:01:12,2022-09-03 17:01:12
Daisy,Daisy,1938,1,Blondie,movie,Acting,3,34214,2022-09-03 17:01:12,2022-09-03 17:01:12
Ann Doran,Elsie Hazlip,1938,1,Blondie,movie,Acting,4,2772,2022-09-03 17:01:12,2022-09-03 17:01:12
Dorothy Moore,Dorothy,1938,1,Blondie,movie,Acting,5,34183,2022-09-03 17:01:12,2022-09-03 17:01:12
Gene Lockhart,C.P. Hazlip,1938,1,Blondie,movie,Acting,6,30234,2022-09-03 17:01:12,2022-09-03 17:01:12
Jonathan Hale,Mr. Dithers,1938,1,Blondie,movie,Acting,7,12502,2022-09-03 17:01:12,2022-09-03 17:01:12
Gordon Oliver,Chester Franey,1938,1,Blondie,movie,Acting,8,34180,2022-09-03 17:01:12,2022-09-03 17:01:12
Danny Mummert,Alvin,1938,1,Blondie,movie,Acting,9,34181,2022-09-03 17:01:12,2022-09-03 17:01:12
Kathleen Lockhart,Mrs. Miller,1938,1,Blondie,movie,Acting,10,34182,2022-09-03 17:01:12,2022-09-03 17:01:12
Willie Best,Porter,1938,1,Blondie,movie,Acting,11,34185,2022-09-03 17:01:12,2022-09-03 17:01:12
Ian Wolfe,Judge,1938,1,Blondie,movie,Acting,12,2782,2022-09-03 17:01:12,2022-09-03 17:01:12
Eugene Anderson Jr,Newsboy (uncredited),1938,1,Blondie,movie,Acting,13,1292673,2022-09-03 17:01:12,2022-09-03 17:01:12
Stanley Andrews,Mr. Hicks (uncredited),1938,1,Blondie,movie,Acting,14,34505,2022-09-03 17:01:12,2022-09-03 17:01:12
Hooper Atchley,Man on Bus (uncredited),1938,1,Blondie,movie,Acting,15,121097,2022-09-03 17:01:12,2022-09-03 17:01:12
Stanley Brown,S.W. Carey Salesman (uncredited),1938,1,Blondie,movie,Acting,16,34241,2022-09-03 17:01:12,2022-09-03 17:01:12
Mary Jane Carey,Mary (uncredited),1938,1,Blondie,movie,Acting,17,1173491,2022-09-03 17:01:12,2022-09-03 17:01:12
Dick Curtis,Daily Gazette Reporter (uncredited),1938,1,Blondie,movie,Acting,18,153638,2022-09-03 17:01:12,2022-09-03 17:01:12
Edgar Dearing,Policeman at Hotel (uncredited),1938,1,Blondie,movie,Acting,19,1240252,2022-09-03 17:01:12,2022-09-03 17:01:12
Richard Fiske,Nelson (uncredited),1938,1,Blondie,movie,Acting,20,34243,2022-09-03 17:01:12,2022-09-03 17:01:12
James Flavin,Policeman in Accident Car (uncredited),1938,1,Blondie,movie,Acting,21,3262,2022-09-03 17:01:12,2022-09-03 17:01:12
Fay Helm,Mrs. Fuddle (uncredited),1938,1,Blondie,movie,Acting,22,34184,2022-09-03 17:01:12,2022-09-03 17:01:12
George Humbert,Pie Salesman (uncredited),1938,1,Blondie,movie,Acting,23,106091,2022-09-03 17:01:12,2022-09-03 17:01:12
Bud Jamison,Repossessor (uncredited),1938,1,Blondie,movie,Acting,24,89615,2022-09-03 17:01:12,2022-09-03 17:01:12
Charles Lane,Furniture Salesman (uncredited),1938,1,Blondie,movie,Acting,25,29579,2022-09-03 17:01:12,2022-09-03 17:01:12
Harold Minjir,Mr. Phillips (uncredited),1938,1,Blondie,movie,Acting,26,1005423,2022-09-03 17:01:12,2022-09-03 17:01:12
David Newell,First Draftsman (uncredited),1938,1,Blondie,movie,Acting,27,942165,2022-09-03 17:01:12,2022-09-03 17:01:12
Emory Parnell,Police Desk Sergeant (uncredited),1938,1,Blondie,movie,Acting,28,124875,2022-09-03 17:01:12,2022-09-03 17:01:12
John Rand,Gardener (uncredited),1938,1,Blondie,movie,Acting,29,21310,2022-09-03 17:01:12,2022-09-03 17:01:12
Bruce Sidney,Detective at Hotel (uncredited),1938,1,Blondie,movie,Acting,30,1420879,2022-09-03 17:01:12,2022-09-03 17:01:12
Walter Soderling,Mr. Morgan (uncredited),1938,1,Blondie,movie,Acting,31,34270,2022-09-03 17:01:12,2022-09-03 17:01:12
Larry Steers,Assistant Hotel Clerk (uncredited),1938,1,Blondie,movie,Acting,32,135827,2022-09-03 17:01:12,2022-09-03 17:01:12
Josephine Whittell,Woman Seeing Optometrist (uncredited),1938,1,Blondie,movie,Acting,33,99376,2022-09-03 17:01:12,2022-09-03 17:01:12
Irving Bacon,Mr. Beazley (uncredited),1938,1,Blondie,movie,Acting,34,30530,2022-09-03 17:01:12,2022-09-03 17:01:12
Harry Liedtke,Peter Voss,1921,2,Der Mann ohne Namen,movie,Acting,0,48038,2022-09-03 17:01:12,2022-09-03 17:01:12
Georg Alexander,Bobby Dodd,1921,2,Der Mann ohne Namen,movie,Acting,1,28126,2022-09-03 17:01:12,2022-09-03 17:01:12
