movie_id,actor_id,cast_name,role_priority,created_at,updated_at
1,34178,Penny Singleton,0,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34179,Arthur Lake,1,2022-09-03 17:01:12,2022-09-03 17:01:12
1,30223,Larry Simms,2,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34214,Daisy,3,2022-09-03 17:01:12,2022-09-03 17:01:12
1,2772,Ann Doran,4,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34183,Dorothy Moore,5,2022-09-03 17:01:12,2022-09-03 17:01:12
1,30234,Gene Lockhart,6,2022-09-03 17:01:12,2022-09-03 17:01:12
1,12502,Jonathan Hale,7,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34180,Gordon Oliver,8,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34181,Danny Mummert,9,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34182,Kathleen Lockhart,10,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34185,Willie Best,11,2022-09-03 17:01:12,2022-09-03 17:01:12
1,2782,Ian Wolfe,12,2022-09-03 17:01:12,2022-09-03 17:01:12
1,1292673,Eugene Anderson Jr,13,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34505,Stanley Andrews,14,2022-09-03 17:01:12,2022-09-03 17:01:12
1,121097,Hooper Atchley,15,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34241,Stanley Brown,16,2022-09-03 17:01:12,2022-09-03 17:01:12
1,1173491,Mary Jane Carey,17,2022-09-03 17:01:12,2022-09-03 17:01:12
1,153638,Dick Curtis,18,2022-09-03 17:01:12,2022-09-03 17:01:12
1,1240252,Edgar Dearing,19,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34243,Richard Fiske,20,2022-09-03 17:01:12,2022-09-03 17:01:12
1,3262,James Flavin,21,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34184,Fay Helm,22,2022-09-03 17:01:12,2022-09-03 17:01:12
1,106091,George Humbert,23,2022-09-03 17:01:12,2022-09-03 17:01:12
1,89615,Bud Jamison,24,2022-09-03 17:01:12,2022-09-03 17:01:12
1,29579,Charles Lane,25,2022-09-03 17:01:12,2022-09-03 17:01:12
1,1005423,Harold Minjir,26,2022-09-03 17:01:12,2022-09-03 17:01:12
1,942165,David Newell,27,2022-09-03 17:01:12,2022-09-03 17:01:12
1,124875,Emory Parnell,28,2022-09-03 17:01:12,2022-09-03 17:01:12
1,21310,John Rand,29,2022-09-03 17:01:12,2022-09-03 17:01:12
1,1420879,Bruce Sidney,30,2022-09-03 17:01:12,2022-09-03 17:01:12
1,34270,Walter Soderling,31,2022-09-03 17:01:12,2022-09-03 17:01:12
1,135827,Larry Steers,32,2022-09-03 17:01:12,2022-09-03 17:01:12
1,99376,Josephine Whittell,33,2022-09-03 17:01:12,2022-09-03 17:01:12
1,30530,Irving Bacon,34,2022-09-03 17:01:12,2022-09-03 17:01:12
2,48038,Harry Liedtke,0,2022-09-03 17:01:12,2022-09-03 17:01:12
2,28126,Georg Alexander,1,2022-09-03 17:01:12,2022-09-03 17:01:12
2,14357,Mady Christians,2,2022-09-03 17:01:12,2022-09-03 17:01:12
2,14131,Jakob Tiedtke,3,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1653,Jean-Pierre Léaud,0,2022-09-03 17:01:12,2022-09-03 17:01:12
3,3536,Marie-France Pisier,1,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1659,Patrick Auffay,2,2022-09-03 17:01:12,2022-09-03 17:01:12
3,3537,Rosy Varte,3,2022-09-03 17:01:12,2022-09-03 17:01:12
3,3518,François Darbon,4,2022-09-03 17:01:12,2022-09-03 17:01:12
3,3538,Jean-François Adam,5,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1003228,Pierre Schaeffer,6,2022-09-03 17:01:12,2022-09-03 17:01:12
3,237623,Cristina Gaïoni,7,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1003229,Geronimo Meynier,8,2022-09-03 17:01:12,2022-09-03 17:01:12
3,25789,Eleonora Rossi Drago,9,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1003230,Nami Tamura,10,2022-09-03 17:01:12,2022-09-03 17:01:12
3,30906,Koji Furuhata,11,2022-09-03 17:01:12,2022-09-03 17:01:12
3,37781,Barbara Frey,12,2022-09-03 17:01:12,2022-09-03 17:01:12
3,32934,Christian Doermer,13,2022-09-03 17:01:12,2022-09-03 17:01:12
3,51406,Vera Tschechowa,14,2022-09-03 17:01:12,2022-09-03 17:01:12
3,39044,Werner Finck,15,2022-09-03 17:01:12,2022-09-03 17:01:12
3,10623,Barbara Lass,16,2022-09-03 17:01:12,2022-09-03 17:01:12
3,40914,Zbigniew Cybulski,17,2022-09-03 17:01:12,2022-09-03 17:01:12
3,17889,Władysław Kowalski,18,2022-09-03 17:01:12,2022-09-03 17:01:12
3,146878,Damian Damięcki,19,2022-09-03 17:01:12,2022-09-03 17:01:12
3,107633,Jan Englert,20,2022-09-03 17:01:12,2022-09-03 17:01:12
3,2825,Marian Opania,21,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1191254,Barbara Sołtysik,22,2022-09-03 17:01:12,2022-09-03 17:01:12
3,1157939,Jolanta Wołłejko,23,2022-09-03 17:01:12,2022-09-03 17:01:12
3,39068,Catherine-Isabelle Duport,24,2022-09-03 17:01:12,2022-09-03 17:01:12
4,84130,Darren Berrecloth,0,2022-09-03 17:01:12,2022-09-03 17:01:12
4,84143,Cameron McCaul,1,2022-09-03 17:01:12,2022-09-03 17:01:12
4,112801,Paul Basagoitia,2,2022-09-03 17:01:12,2022-09-03 17:01:12
4,112818,Brandon Semenuk,3,2022-09-03 17:01:12,2022-09-03 17:01:12
4,115965,Alex Pro,4,2022-09-03 17:01:12,2022-09-03 17:01:12
4,112793,Andreu Lacondeguy,5,2022-09-03 17:01:12,2022-09-03 17:01:12
4,112794,Wayne Goss,6,2022-09-03 17:01:12,2022-09-03 17:01:12
4,112798,Ben Boyko,7,2022-09-03 17:01:12,2022-09-03 17:01:12
6,54768,Turo Pajala,0,2022-09-03 17:01:12,2022-09-03 17:01:12
6,54769,Susanna Haavisto,1,2022-09-03 17:01:12,2022-09-03 17:01:12
6,4826,Matti Pellonpää,2,2022-09-03 17:01:12,2022-09-03 17:01:12
6,54770,Eetu Hilkamo,3,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1177496,Erkki Pajala,4,2022-09-03 17:01:12,2022-09-03 17:01:12
